"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Osnovnošolska ali manj";"Spol - SKUPAJ";24.2;21.9;25.8;26.1;26.2;28.7;26.8;28.4;28.6;25.4
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Osnovnošolska ali manj";"Moški";20.8;17.1;19.8;21.6;22.0;24.0;23.5;23.6;24.0;19.5
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Osnovnošolska ali manj";"Ženske";26.7;25.3;30.1;29.4;29.2;32.2;29.1;31.5;31.7;29.4
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska poklicna";"Spol - SKUPAJ";12.9;11.5;13.6;15.8;15.4;16.7;17.8;17.4;18.3;16.6
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska poklicna";"Moški";11.7;10.3;12.5;14.2;14.6;15.5;16.6;15.8;17.3;15.5
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska poklicna";"Ženske";14.8;13.5;15.5;18.6;16.9;18.8;19.8;20.3;20.1;18.5
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska strokovna, splošna";"Spol - SKUPAJ";7.9;7.2;7.9;8.6;9.8;10.9;11.0;10.1;9.9;9.6
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";7.3;6.1;7.1;7.3;8.6;10.7;10.8;9.9;9.5;9.5
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";8.4;8.1;8.5;9.7;10.9;11.0;11.2;10.4;10.3;9.8
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Višješolska, visokošolska";"Spol - SKUPAJ";2.5;2.6;3.3;3.2;3.5;4.1;4.9;5.8;5.1;5.5
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Višješolska, visokošolska";"Moški";2.9;3.3;3.5;3.7;4.0;4.2;4.3;4.8;3.6;4.6
"Stopnja tveganja revšèine (% oseb)";"Starost 16+";"Višješolska, visokošolska";"Ženske";2.2;2.1;3.1;2.8;3.2;4.1;5.4;6.5;6.3;6.1
