"";"Starost";"Izobrazba";"Spol";"Leto";"Odstotki"
"1";"Starost 16+";"Osnovnošolska ali manj";"Moški";2008;20,8
"2";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2008;26,7
"3";"Starost 16+";"Srednješolska poklicna";"Moški";2008;11,7
"4";"Starost 16+";"Srednješolska poklicna";"Ženske";2008;14,8
"5";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2008;7,3
"6";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2008;8,4
"7";"Starost 16+";"Višješolska, visokošolska";"Moški";2008;2,9
"8";"Starost 16+";"Višješolska, visokošolska";"Ženske";2008;2,2
"9";"Starost 18+";"Osnovnošolska ali manj";"Moški";2008;22
"10";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2008;28
"11";"Starost 18+";"Srednješolska poklicna";"Moški";2008;11,7
"12";"Starost 18+";"Srednješolska poklicna";"Ženske";2008;14,8
"13";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2008;7,3
"14";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2008;8,5
"15";"Starost 18+";"Višješolska, visokošolska";"Moški";2008;2,9
"16";"Starost 18+";"Višješolska, visokošolska";"Ženske";2008;2,2
"17";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2008;20,7
"18";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2008;19,1
"19";"Starost 18-64";"Srednješolska poklicna";"Moški";2008;11,4
"20";"Starost 18-64";"Srednješolska poklicna";"Ženske";2008;13,4
"21";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2008;7,9
"22";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2008;7,7
"23";"Starost 18-64";"Višješolska, visokošolska";"Moški";2008;3,3
"24";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2008;2,3
"25";"Starost 65+";"Osnovnošolska ali manj";"Moški";2008;28,2
"26";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2008;39,7
"27";"Starost 65+";"Srednješolska poklicna";"Moški";2008;13,7
"28";"Starost 65+";"Srednješolska poklicna";"Ženske";2008;21,3
"29";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2008;2,9
"30";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2008;13,3
"31";"Starost 65+";"Višješolska, visokošolska";"Moški";2008;1,3
"32";"Starost 65+";"Višješolska, visokošolska";"Ženske";2008;1,8
"33";"Starost 16+";"Osnovnošolska ali manj";"Moški";2009;17,1
"34";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2009;25,3
"35";"Starost 16+";"Srednješolska poklicna";"Moški";2009;10,3
"36";"Starost 16+";"Srednješolska poklicna";"Ženske";2009;13,5
"37";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2009;6,1
"38";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2009;8,1
"39";"Starost 16+";"Višješolska, visokošolska";"Moški";2009;3,3
"40";"Starost 16+";"Višješolska, visokošolska";"Ženske";2009;2,1
"41";"Starost 18+";"Osnovnošolska ali manj";"Moški";2009;18,1
"42";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2009;26,6
"43";"Starost 18+";"Srednješolska poklicna";"Moški";2009;10,3
"44";"Starost 18+";"Srednješolska poklicna";"Ženske";2009;13,5
"45";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2009;6,1
"46";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2009;8,1
"47";"Starost 18+";"Višješolska, visokošolska";"Moški";2009;3,3
"48";"Starost 18+";"Višješolska, visokošolska";"Ženske";2009;2,1
"49";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2009;17
"50";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2009;18,2
"51";"Starost 18-64";"Srednješolska poklicna";"Moški";2009;9,5
"52";"Starost 18-64";"Srednješolska poklicna";"Ženske";2009;12
"53";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2009;6,6
"54";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2009;7,6
"55";"Starost 18-64";"Višješolska, visokošolska";"Moški";2009;3,5
"56";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2009;2
