"";"Tip";"Leto";"Dohodek"
"1";"Enočlansko gospodinjstvo";2005;5278
"2";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2005;11085
"3";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2005;7917
"4";"Enočlansko gospodinjstvo";2006;5590
"5";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2006;11740
"6";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2006;8385
"7";"Enočlansko gospodinjstvo";2007;5944
"8";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2007;12483
"9";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2007;8916
"10";"Enočlansko gospodinjstvo";2008;6536
"11";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2008;13725
"12";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2008;9804
"13";"Enočlansko gospodinjstvo";2009;7118
"14";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2009;14949
"15";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2009;10677
"16";"Enočlansko gospodinjstvo";2010;7042
"17";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2010;14787
"18";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2010;10563
"19";"Enočlansko gospodinjstvo";2011;7199
"20";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2011;15119
"21";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2011;10799
"22";"Enočlansko gospodinjstvo";2012;7273
"23";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2012;15274
"24";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2012;10910
"25";"Enočlansko gospodinjstvo";2013;7111
"26";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2013;14934
"27";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2013;10667
"28";"Enočlansko gospodinjstvo";2014;7146
"29";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2014;15006
"30";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2014;10719
"31";"Enočlansko gospodinjstvo";2015;7399
"32";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2015;15538
"33";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2015;11099
"34";"Enočlansko gospodinjstvo";2016;7396
"35";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2016;15532
"36";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2016;11094
"37";"Enočlansko gospodinjstvo";2017;7628
"38";"Štiričlansko gospodinjstvo (2 odrasli osebi + 2 otroka, mlajša od 14 let)";2017;16019
"39";"Dvočlansko gospodinjstvo (2 odrasli osebi)";2017;11442
